LocationID,Borough,Zone,service_zone
1,EWR,Newark Airport,EWR
2,Queens,Jamaica Bay,Boro Zone
3,Bronx,Allerton/Pelham Gardens,Boro Zone
4,Manhattan,Alphabet City,Yellow Zone
5,Staten Island,Arden Heights,Boro Zone
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
7,Queens,Astoria,Boro Zone
8,Queens,Astoria Park,Boro Zone
9,Queens,Auburndale,Boro Zone
10,Queens,Baisley Park,Boro Zone
11,Brooklyn,Bath Beach,Boro Zone
12,Manhattan,Battery Park,Yellow Zone
13,Manhattan,Battery Park City,Yellow Zone
14,Brooklyn,Bay Ridge,Boro Zone
15,Queens,Bay Terrace/Fort Totten,Boro Zone
16,Queens,Bayside,Boro Zone
17,Brooklyn,Bedford,Boro Zone
18,Bronx,Bedford Park,Boro Zone
19,Queens,Bellerose,Boro Zone
20,Bronx,Belmont,Boro Zone
21,Brooklyn,Bensonhurst East,Boro Zone
22,Brooklyn,Bensonhurst West,Boro Zone
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone
24,Manhattan,Bloomingdale,Yellow Zone
25,Brooklyn,Boerum Hill,Boro Zone
26,Brooklyn,Borough Park,Boro Zone
27,Bronx,Bronx Park,Boro Zone
28,Bronx,Bronxdale,Boro Zone
29,Brooklyn,Brooklyn Heights,Boro Zone
30,Brooklyn,Brooklyn Navy Yard,Boro Zone
31,Brooklyn,Brownsville,Boro Zone
32,Brooklyn,Bushwick North,Boro Zone
33,Brooklyn,Bushwick South,Boro Zone
34,Queens,Cambria Heights,Boro Zone
35,Brooklyn,Canarsie,Boro Zone
36,Brooklyn,Carroll Gardens,Boro Zone
37,Manhattan,Central Harlem,Boro Zone
38,Manhattan,Central Harlem North,Boro Zone
39,Manhattan,Central Park,Yellow Zone
40,Brooklyn,Charleston/Tottenville,Boro Zone
41,Manhattan,Chinatown,Yellow Zone
42,Bronx,City Island,Boro Zone
43,Bronx,Claremont/Bathgate,Boro Zone
44,Manhattan,Clinton East,Yellow Zone
45,Brooklyn,Clinton Hill,Boro Zone
46,Manhattan,Clinton West,Yellow Zone
47,Bronx,Co-Op City,Boro Zone
48,Manhattan,Cobble Hill,Yellow Zone
49,Queens,College Point,Boro Zone
50,Brooklyn,Columbia Street,Boro Zone
51,Brooklyn,Coney Island,Boro Zone
52,Queens,Corona,Boro Zone
53,Queens,Corona,Boro Zone
54,Brooklyn,Crown Heights North,Boro Zone
55,Brooklyn,Crown Heights South,Boro Zone
56,Brooklyn,Cypress Hills,Boro Zone
57,Queens,Douglas Manor/Douglaston,Boro Zone
58,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
59,Bronx,Dreiser Loop,Boro Zone
60,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
61,Brooklyn,Dyker Heights,Boro Zone
62,Manhattan,East Chelsea,Yellow Zone
63,Bronx,East Concourse/Concourse Village,Boro Zone
64,Queens,East Elmhurst,Boro Zone
65,Brooklyn,East Flatbush/Farragut,Boro Zone
66,Brooklyn,East Flatbush/Remsen Village,Boro Zone
67,Queens,East Flushing,Boro Zone
68,Manhattan,East Harlem North,Boro Zone
69,Manhattan,East Harlem South,Boro Zone
70,Brooklyn,East New York,Boro Zone
71,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone
72,Bronx,East Tremont,Boro Zone
73,Manhattan,East Village,Yellow Zone
74,Brooklyn,East Williamsburg,Boro Zone
75,Bronx,Eastchester,Boro Zone
76,Queens,Elmhurst,Boro Zone
77,Queens,Elmhurst/Maspeth,Boro Zone
78,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone
79,Brooklyn,Erasmus,Boro Zone
80,Queens,Far Rockaway,Boro Zone
81,Manhattan,Financial District North,Yellow Zone
82,Manhattan,Financial District South,Yellow Zone
83,Brooklyn,Flatbush/Ditmas Park,Boro Zone
84,Brooklyn,Flatlands,Boro Zone
85,Queens,Flushing,Boro Zone
86,Queens,Flushing Meadows-Corona Park,Boro Zone
87,Bronx,Fordham South,Boro Zone
88,Queens,Forest Hills,Boro Zone
89,Queens,Forest Park/Highland Park,Boro Zone
90,Brooklyn,Fort Greene,Boro Zone
91,Queens,Fresh Meadows,Boro Zone
92,Staten Island,Freshkills Park,Boro Zone
93,Manhattan,Garment District,Yellow Zone
94,Queens,Glen Oaks,Boro Zone
95,Queens,Glendale,Boro Zone
96,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
97,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
98,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
99,Brooklyn,Gravesend,Boro Zone
100,Staten Island,Great Kills,Boro Zone
101,Staten Island,Great Kills Park,Boro Zone
102,Brooklyn,Green-Wood Cemetery,Boro Zone
103,Brooklyn,Greenpoint,Boro Zone
104,Manhattan,Greenwich Village North,Yellow Zone
105,Manhattan,Greenwich Village South,Yellow Zone
106,Staten Island,Grymes Hill/Clifton,Boro Zone
107,Manhattan,Hamilton Heights,Boro Zone
108,Queens,Hammels/Arverne,Boro Zone
109,Staten Island,Heartland Village/Todt Hill,Boro Zone
110,Bronx,Highbridge,Boro Zone
111,Manhattan,Highbridge Park,Boro Zone
112,Queens,Hillcrest/Pomonok,Boro Zone
113,Queens,Hollis,Boro Zone
114,Brooklyn,Homecrest,Boro Zone
115,Queens,Howard Beach,Boro Zone
116,Manhattan,Hudson Sq,Yellow Zone
117,Bronx,Hunts Point,Boro Zone
118,Manhattan,Inwood,Boro Zone
119,Manhattan,Inwood Hill Park,Boro Zone
120,Queens,Jackson Heights,Boro Zone
121,Queens,Jamaica,Boro Zone
122,Queens,Jamaica Estates,Boro Zone
123,Queens,JFK Airport,Airports
124,Manhattan,Kips Bay,Yellow Zone
125,Brooklyn,Kensington,Boro Zone
126,Queens,Kew Gardens,Boro Zone
127,Queens,Kew Gardens Hills,Boro Zone
128,Bronx,Kingsbridge Heights,Boro Zone
129,Manhattan,Lenox Hill East,Yellow Zone
130,Manhattan,Lenox Hill West,Yellow Zone
131,Manhattan,Lincoln Square East,Yellow Zone
132,Manhattan,Lincoln Square West,Yellow Zone
133,Manhattan,Little Italy/NoLiTa,Yellow Zone
134,Queens,Long Island City/Hunters Point,Boro Zone
135,Queens,Long Island City/Queens Plaza,Boro Zone
136,Queens,Longwood,Boro Zone
137,Manhattan,Lower East Side,Yellow Zone
138,Brooklyn,Madison,Boro Zone
139,Brooklyn,Manhattan Beach,Boro Zone
140,Queens,Manhattan Valley,Yellow Zone
141,Manhattan,Manhattanville,Boro Zone
142,Manhattan,Marble Hill,Boro Zone
143,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone
144,Brooklyn,Marine Park/Mill Basin,Boro Zone
145,Staten Island,Mariners Harbor,Boro Zone
146,Queens,Maspeth,Boro Zone
147,Manhattan,Meatpacking/West Village West,Yellow Zone
148,Bronx,Melrose South,Boro Zone
149,Queens,Middle Village,Boro Zone
150,Manhattan,Midtown Center,Yellow Zone
151,Manhattan,Midtown East,Yellow Zone
152,Manhattan,Midtown North,Yellow Zone
153,Manhattan,Midtown South,Yellow Zone
154,Brooklyn,Mill Basin,Boro Zone
155,Staten Island,Mill Creek,Boro Zone
156,Manhattan,Morningside Heights,Boro Zone
157,Bronx,Morrisania/Melrose,Boro Zone
158,Bronx,Mott Haven/Port Morris,Boro Zone
159,Bronx,Mount Hope,Boro Zone
160,Manhattan,Murray Hill,Yellow Zone
161,Queens,Murray Hill-Queens,Boro Zone
162,Queens,LaGuardia Airport,Airports
163,Queens,Neponsit,Boro Zone
164,Bronx,New Dorp/Midland Beach,Boro Zone
165,Staten Island,New Dorp/Midland Beach,Boro Zone
166,Brooklyn,North Side/South Side,Boro Zone
167,Brooklyn,Norwood,Boro Zone
168,Queens,Oakland Gardens,Boro Zone
169,Staten Island,Oakwood,Boro Zone
170,Brooklyn,Ocean Hill,Boro Zone
171,Brooklyn,Ocean Parkway South,Boro Zone
172,Queens,Old Astoria,Boro Zone
173,Queens,Ozone Park,Boro Zone
174,Brooklyn,Park Slope,Boro Zone
175,Bronx,Parkchester,Boro Zone
176,Bronx,Pelham Bay,Boro Zone
177,Bronx,Pelham Bay Park,Boro Zone
178,Bronx,Pelham Parkway,Boro Zone
179,Manhattan,Penn Station/Madison Sq West,Yellow Zone
180,Staten Island,Port Richmond,Boro Zone
181,Brooklyn,Prospect-Lefferts Gardens,Boro Zone
182,Brooklyn,Prospect Heights,Boro Zone
183,Brooklyn,Prospect Park,Boro Zone
184,Queens,Queens Village,Boro Zone
185,Queens,Queensboro Hill,Boro Zone
186,Queens,Queensbridge/Ravenswood,Boro Zone
187,Manhattan,Randalls Island,Yellow Zone
188,Brooklyn,Red Hook,Boro Zone
189,Queens,Rego Park,Boro Zone
190,Queens,Richmond Hill,Boro Zone
191,Queens,Ridgewood,Boro Zone
192,Brooklyn,Rikers Island,Boro Zone
193,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone
194,Queens,Rockaway Park,Boro Zone
195,Manhattan,Roosevelt Island,Boro Zone
196,Queens,Rosedale,Boro Zone
197,Staten Island,Rossville/Woodrow,Boro Zone
198,Queens,Saint Albans,Boro Zone
199,Staten Island,Scranton/Stapleton,Boro Zone
200,Queens,Seaside/Hammels,Boro Zone
201,Staten Island,Silver Lake,Boro Zone
202,Brooklyn,South Brooklyn,Boro Zone
203,Manhattan,South Harlem,Boro Zone
204,Brooklyn,South Ozone Park,Boro Zone
205,Brooklyn,South Williamsburg,Boro Zone
206,Queens,Southeast Queens,Boro Zone
207,Bronx,Soundview/Bruckner,Boro Zone
208,Bronx,Soundview/Castle Hill,Boro Zone
209,Staten Island,Spuyten Duyvil/Kingsbridge,Boro Zone
210,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone
211,Brooklyn,Stuyvesant Heights,Boro Zone
212,Queens,Sunnyside,Boro Zone
213,Brooklyn,Sunset Park East,Boro Zone
214,Brooklyn,Sunset Park West,Boro Zone
215,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
216,Manhattan,Times Sq/Theatre District,Yellow Zone
217,Manhattan,TriBeCa/Civic Center,Yellow Zone
218,Manhattan,Two Bridges/Seward Park,Yellow Zone
219,Manhattan,UN/Turtle Bay South,Yellow Zone
220,Manhattan,Union Sq,Yellow Zone
221,Bronx,University Heights/Morris Heights,Boro Zone
222,Manhattan,Upper East Side North,Yellow Zone
223,Manhattan,Upper East Side South,Yellow Zone
224,Manhattan,Upper West Side North,Yellow Zone
225,Manhattan,Upper West Side South,Yellow Zone
226,Bronx,Van Cortlandt Park,Boro Zone
227,Bronx,Van Cortlandt Village,Boro Zone
228,Bronx,Van Nest/Morris Park,Boro Zone
229,Manhattan,Washington Heights North,Boro Zone
230,Manhattan,Washington Heights South,Boro Zone
231,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
232,Bronx,West Concourse,Boro Zone
233,Bronx,West Farms/Bronx River,Boro Zone
234,Manhattan,West Village,Yellow Zone
235,Bronx,Westchester Village/Unionport,Boro Zone
236,Staten Island,Westerleigh,Boro Zone
237,Queens,Whitestone,Boro Zone
238,Queens,Willets Point,Boro Zone
239,Bronx,Williamsbridge/Olinville,Boro Zone
240,Brooklyn,Williamsburg (North Side),Boro Zone
241,Brooklyn,Williamsburg (South Side),Boro Zone
242,Brooklyn,Windsor Terrace,Boro Zone
243,Queens,Woodhaven,Boro Zone
244,Bronx,Woodlawn/Wakefield,Boro Zone
245,Queens,Woodside,Boro Zone
246,Manhattan,World Trade Center,Yellow Zone
247,Manhattan,Yorkville East,Yellow Zone
248,Manhattan,Yorkville West,Yellow Zone
249,Manhattan,Midtown East,Yellow Zone
250,Brooklyn,Brooklyn,Boro Zone
251,Queens,Queens,Boro Zone
252,Bronx,Bronx,Boro Zone
253,Staten Island,Staten Island,Boro Zone
254,Manhattan,Manhattan,Yellow Zone
255,Queens,Jamaica Bay,Boro Zone
256,Staten Island,St. George/New Brighton,Boro Zone
257,Brooklyn,Canarsie,Boro Zone
258,Brooklyn,Coney Island,Boro Zone
259,Queens,Far Rockaway,Boro Zone
260,Queens,Flushing,Boro Zone
261,Manhattan,Midtown,Yellow Zone
262,Manhattan,JFK,Airports
263,Queens,Newark,EWR
264,Queens,Outside NYC,N/A
265,Unknown,Unknown,N/A
